test_id,exam_version,objectives_version,batch_id,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,batch_question_count,cumulative_approved_count,batch_question_ids
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.1,Explain concepts related to the Open Systems Interconnection (OSI) reference model.,1,3,NET009-0000079
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.2,"Compare and contrast networking appliances, applications, and functions.",2,4,NET009-0000080|NET009-0000081
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.3,Summarize cloud concepts and connectivity options.,1,4,NET009-0000082
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.4,"Explain common networking ports, protocols, services, and traffic types.",1,4,NET009-0000083
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.5,Compare and contrast transmission media and transceivers.,1,3,NET009-0000084
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.6,"Compare and contrast network topologies, architectures, and types.",0,2,
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.7,"Given a scenario, use appropriate IPv4 network addressing.",1,3,NET009-0000085
NET-009,N10-009,6.0,NET009-BATCH-004,1.0,Networking Concepts,23,1.8,Summarize evolving use cases for modern network environments.,0,3,
NET-009,N10-009,6.0,NET009-BATCH-004,2.0,Network Implementation,20,2.1,Explain characteristics of routing technologies.,1,7,NET009-0000086
NET-009,N10-009,6.0,NET009-BATCH-004,2.0,Network Implementation,20,2.2,"Given a scenario, configure switching technologies and features.",1,6,NET009-0000087
NET-009,N10-009,6.0,NET009-BATCH-004,2.0,Network Implementation,20,2.3,"Given a scenario, select and configure wireless devices and technologies.",2,5,NET009-0000088|NET009-0000089
NET-009,N10-009,6.0,NET009-BATCH-004,2.0,Network Implementation,20,2.4,Explain important factors of physical installations.,2,4,NET009-0000090|NET009-0000091
NET-009,N10-009,6.0,NET009-BATCH-004,3.0,Network Operations,19,3.1,Explain the purpose of organizational processes and procedures.,2,4,NET009-0000092|NET009-0000093
NET-009,N10-009,6.0,NET009-BATCH-004,3.0,Network Operations,19,3.2,"Given a scenario, use network monitoring technologies.",1,5,NET009-0000094
NET-009,N10-009,6.0,NET009-BATCH-004,3.0,Network Operations,19,3.3,Explain disaster recovery (DR) concepts.,1,3,NET009-0000095
NET-009,N10-009,6.0,NET009-BATCH-004,3.0,Network Operations,19,3.4,"Given a scenario, implement IPv4 and IPv6 network services.",1,4,NET009-0000096
NET-009,N10-009,6.0,NET009-BATCH-004,3.0,Network Operations,19,3.5,Compare and contrast network access and management methods.,1,4,NET009-0000097
NET-009,N10-009,6.0,NET009-BATCH-004,4.0,Network Security,14,4.1,Explain the importance of basic network security concepts.,2,5,NET009-0000098|NET009-0000099
NET-009,N10-009,6.0,NET009-BATCH-004,4.0,Network Security,14,4.2,Summarize various types of attacks and their impact to the network.,1,4,NET009-0000100
NET-009,N10-009,6.0,NET009-BATCH-004,4.0,Network Security,14,4.3,"Given a scenario, apply network security features, defense techniques, and solutions.",1,5,NET009-0000101
NET-009,N10-009,6.0,NET009-BATCH-004,5.0,Network Troubleshooting,24,5.1,Explain the troubleshooting methodology.,1,4,NET009-0000102
NET-009,N10-009,6.0,NET009-BATCH-004,5.0,Network Troubleshooting,24,5.2,"Given a scenario, troubleshoot common cabling and physical interface issues.",1,5,NET009-0000103
NET-009,N10-009,6.0,NET009-BATCH-004,5.0,Network Troubleshooting,24,5.3,"Given a scenario, troubleshoot common issues with network services.",1,5,NET009-0000104
NET-009,N10-009,6.0,NET009-BATCH-004,5.0,Network Troubleshooting,24,5.4,"Given a scenario, troubleshoot common performance issues.",1,5,NET009-0000105
NET-009,N10-009,6.0,NET009-BATCH-004,5.0,Network Troubleshooting,24,5.5,"Given a scenario, use the appropriate tool or protocol to solve networking issues.",3,7,NET009-0000106|NET009-0000107|NET009-0000108
