dimension,value,count,percentage,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,3,12.0,12,Approved Batch 010 allocation.
domain,"2.0 Threats, Vulnerabilities, and Mitigations",6,24.0,22,Approved Batch 010 allocation.
domain,3.0 Security Architecture,4,16.0,18,Approved Batch 010 allocation.
domain,4.0 Security Operations,7,28.0,28,Approved Batch 010 allocation.
domain,5.0 Security Program Management and Oversight,5,20.0,20,Approved Batch 010 allocation.
objective,1.1 Compare and contrast various types of security controls.,1,4.0,,
objective,1.2 Summarize fundamental security concepts.,1,4.0,,
objective,1.4 Explain the importance of using appropriate cryptographic solutions.,1,4.0,,
objective,2.1 Compare and contrast common threat actors and motivations.,2,8.0,,
objective,2.2 Explain common threat vectors and attack surfaces.,1,4.0,,
objective,2.3 Explain various types of vulnerabilities.,1,4.0,,
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",1,4.0,,
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,1,4.0,,
objective,3.1 Compare and contrast security implications of different architecture models.,1,4.0,,
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",1,4.0,,
objective,3.3 Compare and contrast concepts and strategies to protect data.,1,4.0,,
objective,3.4 Explain the importance of resilience and recovery in security architecture.,1,4.0,,
objective,4.3 Explain various activities associated with vulnerability management.,1,4.0,,
objective,4.4 Explain security alerting and monitoring concepts and tools.,1,4.0,,
objective,"4.5 Given a scenario, modify enterprise capabilities to enhance security.",1,4.0,,
objective,"4.6 Given a scenario, implement and maintain identity and access management.",1,4.0,,
objective,4.7 Explain the importance of automation and orchestration related to secure operations.,1,4.0,,
objective,4.8 Explain appropriate incident response activities.,1,4.0,,
objective,"4.9 Given a scenario, use data sources to support an investigation.",1,4.0,,
objective,5.1 Summarize elements of effective security governance.,1,4.0,,
objective,5.2 Explain elements of the risk management process.,1,4.0,,
objective,5.3 Explain the processes associated with third-party risk assessment and management.,1,4.0,,
objective,5.5 Explain types and purposes of audits and assessments.,1,4.0,,
objective,"5.6 Given a scenario, implement security awareness practices.",1,4.0,,
topic,Annual loss expectancy inputs,1,4.0,,
topic,Broken object-level authorization,1,4.0,,
topic,Competitor motivation,1,4.0,,
topic,Context-aware authorization,1,4.0,,
topic,DNS tunneling indicators,1,4.0,,
topic,Digital signatures,1,4.0,,
topic,Dual control for key operations,1,4.0,,
topic,Enterprise phishing defenses,1,4.0,,
topic,Evidence of operating effectiveness,1,4.0,,
topic,Infrastructure as a service,1,4.0,,
topic,Key risk indicators,1,4.0,,
topic,Lost badge reporting,1,4.0,,
topic,Malicious insider indicators,1,4.0,,
topic,Near-zero recovery objectives,1,4.0,,
topic,Port-based network access control,1,4.0,,
topic,Preventive controls,1,4.0,,
topic,Protecting data in transit,1,4.0,,
topic,Right-to-audit clauses,1,4.0,,
topic,Risk-based vulnerability prioritization,1,4.0,,
topic,Safety-aware incident containment,1,4.0,,
topic,Security orchestration,1,4.0,,
topic,Security orchestration automation and response,1,4.0,,
topic,Software supply-chain compromise,1,4.0,,
topic,Third-party remote access,1,4.0,,
topic,Web proxy investigation logs,1,4.0,,
difficulty,easy,6,24.0,,
difficulty,hard,6,24.0,,
difficulty,medium,13,52.0,,
question_type,best_available,10,40.0,,
question_type,multi_select,6,24.0,,
question_type,single_choice,9,36.0,,
question_style,calculation,1,4.0,,
question_style,comparison,5,20.0,,
question_style,direct,4,16.0,,
question_style,scenario,15,60.0,,
correct_key_inclusion,A,8,25.0,,"Counts each selected correct key, including multi-select questions."
correct_key_inclusion,B,8,25.0,,"Counts each selected correct key, including multi-select questions."
correct_key_inclusion,C,8,25.0,,"Counts each selected correct key, including multi-select questions."
correct_key_inclusion,D,8,25.0,,"Counts each selected correct key, including multi-select questions."
