objective_id,domain_id,domain_name,objective_text,batch_001_questions,batch_002_questions,batch_003_questions,batch_004_questions,cumulative_questions,question_ids,stimulus_question_ids
1.1,1.0,Network Infrastructure and Connectivity,Diagnose physical interface and cabling faults.,1,1,1,1,4,CCNA301V2-0000001|CCNA301V2-0000031|CCNA301V2-0000061|CCNA301V2-0000091,CCNA301V2-0000001|CCNA301V2-0000031|CCNA301V2-0000061|CCNA301V2-0000091
1.2,1.0,Network Infrastructure and Connectivity,"Explain the roles of hypervisors, virtual machines, and containers.",1,0,1,1,3,CCNA301V2-0000002|CCNA301V2-0000062|CCNA301V2-0000092,
1.3,1.0,Network Infrastructure and Connectivity,"Troubleshoot IPv4 configuration, assignment, and subnetting.",1,1,1,1,4,CCNA301V2-0000003|CCNA301V2-0000032|CCNA301V2-0000063|CCNA301V2-0000093,
1.4,1.0,Network Infrastructure and Connectivity,"Troubleshoot IPv6 configuration, assignment, and prefix sizing.",1,1,1,1,4,CCNA301V2-0000004|CCNA301V2-0000033|CCNA301V2-0000064|CCNA301V2-0000094,CCNA301V2-0000094
1.5,1.0,Network Infrastructure and Connectivity,Explain wireless networking principles.,0,0,0,0,0,,
1.5.a,1.0,Network Infrastructure and Connectivity,Select appropriate wireless bands and channels.,1,0,1,0,2,CCNA301V2-0000005|CCNA301V2-0000065,
1.5.b,1.0,Network Infrastructure and Connectivity,Interpret radio-frequency characteristics.,0,1,0,1,2,CCNA301V2-0000034|CCNA301V2-0000095,
1.5.c,1.0,Network Infrastructure and Connectivity,Distinguish wireless security protocols.,1,0,1,0,2,CCNA301V2-0000006|CCNA301V2-0000066,
1.5.d,1.0,Network Infrastructure and Connectivity,Identify common causes of wireless interference.,0,1,0,1,2,CCNA301V2-0000035|CCNA301V2-0000096,
1.6,1.0,Network Infrastructure and Connectivity,Troubleshoot wired and wireless client connectivity.,1,1,1,1,4,CCNA301V2-0000007|CCNA301V2-0000036|CCNA301V2-0000067|CCNA301V2-0000097,CCNA301V2-0000067
1.7,1.0,Network Infrastructure and Connectivity,"Troubleshoot DHCPv4 clients, servers, and relays on IOS devices.",1,1,1,0,3,CCNA301V2-0000008|CCNA301V2-0000037|CCNA301V2-0000068,CCNA301V2-0000008|CCNA301V2-0000037
2.1,2.0,Switching and Network Access,Configure network-infrastructure connectivity.,0,0,0,0,0,,
2.1.a,2.0,Switching and Network Access,Configure Layer 2 and Layer 3 physical interfaces.,0,1,1,1,3,CCNA301V2-0000038|CCNA301V2-0000069|CCNA301V2-0000098,CCNA301V2-0000069|CCNA301V2-0000098
2.1.b,2.0,Switching and Network Access,Configure Layer 2 IEEE 802.1Q trunk interfaces.,1,0,1,1,3,CCNA301V2-0000009|CCNA301V2-0000070|CCNA301V2-0000099,CCNA301V2-0000009|CCNA301V2-0000070|CCNA301V2-0000099
2.1.c,2.0,Switching and Network Access,Configure Layer 2 and Layer 3 LACP port channels.,1,1,0,1,3,CCNA301V2-0000010|CCNA301V2-0000039|CCNA301V2-0000100,CCNA301V2-0000010|CCNA301V2-0000039
2.1.d,2.0,Switching and Network Access,Configure switch virtual interfaces.,1,0,1,1,3,CCNA301V2-0000011|CCNA301V2-0000071|CCNA301V2-0000101,
2.2,2.0,Switching and Network Access,Configure edge switch-port attributes for connected hosts.,0,0,0,0,0,,
2.2.a,2.0,Switching and Network Access,"Configure edge ports for desktops, printers, and IoT appliances.",0,1,0,1,2,CCNA301V2-0000040|CCNA301V2-0000102,
2.2.b,2.0,Switching and Network Access,Configure edge ports for wireless access points.,0,1,0,1,2,CCNA301V2-0000041|CCNA301V2-0000103,
2.2.c,2.0,Switching and Network Access,Configure edge ports for Voice over IP phones.,1,0,1,0,2,CCNA301V2-0000012|CCNA301V2-0000072,
2.2.d,2.0,Switching and Network Access,Configure edge connectivity for virtualized hosts.,0,1,0,0,1,CCNA301V2-0000042,CCNA301V2-0000042
2.2.e,2.0,Switching and Network Access,Configure edge connectivity for network appliances.,0,1,0,0,1,CCNA301V2-0000043,
2.3,2.0,Switching and Network Access,Validate network documentation with CDP and LLDP.,1,0,1,0,2,CCNA301V2-0000013|CCNA301V2-0000073,
2.4,2.0,Switching and Network Access,Troubleshoot basic Layer 2 and Layer 3 connectivity and device operation.,0,1,0,1,2,CCNA301V2-0000044|CCNA301V2-0000104,CCNA301V2-0000044
2.5,2.0,Switching and Network Access,Configure Rapid PVST+ operation.,0,0,0,0,0,,
2.5.a,2.0,Switching and Network Access,Configure and identify Rapid PVST+ root and port selections.,1,0,0,1,2,CCNA301V2-0000014|CCNA301V2-0000105,CCNA301V2-0000014|CCNA301V2-0000105
2.5.b,2.0,Switching and Network Access,Interpret Rapid PVST+ port states and roles.,0,0,1,0,1,CCNA301V2-0000074,CCNA301V2-0000074
2.5.c,2.0,Switching and Network Access,Configure PortFast appropriately.,0,1,0,0,1,CCNA301V2-0000045,
2.5.d,2.0,Switching and Network Access,Configure spanning-tree guard features.,1,0,1,0,2,CCNA301V2-0000015|CCNA301V2-0000075,
3.1,3.0,IP Routing,Interpret routing tables to determine a packet next hop.,1,1,1,1,4,CCNA301V2-0000016|CCNA301V2-0000046|CCNA301V2-0000076|CCNA301V2-0000106,CCNA301V2-0000016|CCNA301V2-0000046|CCNA301V2-0000076|CCNA301V2-0000106
3.2,3.0,IP Routing,Troubleshoot IPv4 and IPv6 static routing.,0,0,0,0,0,,
