source_id,organization,title,publication_version,url,notes
SRC-CISCO-CCNA-V2-TOPICS,Cisco,Implementing and Administering Cisco Solutions (200-301 CCNA) v2.0 Exam Topics,"Version 2.0, 2026",https://learningcontent.cisco.com/documents/marketing/exam-topics/200-301_CCNA_v2.0_Exam_Topics_PDF.pdf,"Authoritative source for the five domains, weights, 29 numbered objectives, and 30 lettered subobjectives."
SRC-CISCO-CCNA-EXAM,Cisco,CCNA Exam and Training Overview,Current exam page,https://www.cisco.com/site/us/en/learn/training-certifications/exams/ccna.html,Official Cisco exam overview and certification information.
SRC-CISCO-IOSXE-INTERFACES,Cisco,Cisco IOS XE Interface and Hardware Command Reference,Current Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9600/software/release/26-x/command_reference/b_26x_9600_cr/interface_and_hardware_commands.html,"Primary command reference for interface state, counters, speed, duplex, and hardware evidence."
SRC-CISCO-IOSXE-IPV6-BASICS,Cisco,IPv6 Addressing and Basic Connectivity,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/ios/ipv6/configuration/guide/ipv6-xe-16-book-cat8000/m_ip6-addrg-bsc-con.html,"IPv6 addressing, interface configuration, and basic connectivity."
SRC-CISCO-IOSXE-DHCP-SERVER,Cisco,DHCP Server Configuration,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/ip-addressing/b-ip-addressing/m_config-dhcp-server-xe.html,"IOS XE DHCP server pools, exclusions, options, and verification."
SRC-CISCO-IOSXE-DHCP-RELAY,Cisco,DHCP Relay Agent Configuration,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_dhcp/configuration/xe-2/dhcp-xe-2-book/dhcp-relay-agent-xe.html,IOS XE DHCP relay behavior and configuration.
SRC-CISCO-IOSXE-VLAN-TRUNKS,Cisco,Configure VLAN Trunks,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/lyr2-fwd/vlan/vlan-configuration-guide/configure-vlan-trunks.html,"802.1Q trunks, native VLANs, allowed VLANs, and verification."
SRC-CISCO-IOSXE-ETHERCHANNEL,Cisco,EtherChannel Configuration Guide,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/lyr2-fwd/etherchannel/etherchannel-configuration-guide/etherchannels.html,Layer 2 and Layer 3 EtherChannel and LACP configuration.
SRC-CISCO-IOSXE-CDP,Cisco,Configure Cisco Discovery Protocol,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/lyr2-fwd/cdp-lldp-mac-udld/cdp-lldp-mac-udld-configuration-guide/c-configure-cdp.html,CDP configuration and neighbor evidence.
SRC-CISCO-IOSXE-LLDP,Cisco,Configure Link Layer Discovery Protocol,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/lyr2-fwd/cdp-lldp-mac-udld/cdp-lldp-mac-udld-configuration-guide/c-configure-lldp.html,LLDP configuration and neighbor evidence.
