objective_id,domain_id,domain_name,domain_weight_percent,objective_text,batch_001_questions,batch_002_questions,cumulative_questions,question_ids,stimulus_question_ids
1.1,1.0,Network Infrastructure and Connectivity,25,Diagnose physical interface and cabling faults.,1,1,2,CCNA301V2-0000001|CCNA301V2-0000031,CCNA301V2-0000001|CCNA301V2-0000031
1.2,1.0,Network Infrastructure and Connectivity,25,"Explain the roles of hypervisors, virtual machines, and containers.",1,0,1,CCNA301V2-0000002,
1.3,1.0,Network Infrastructure and Connectivity,25,"Troubleshoot IPv4 configuration, assignment, and subnetting.",1,1,2,CCNA301V2-0000003|CCNA301V2-0000032,
1.4,1.0,Network Infrastructure and Connectivity,25,"Troubleshoot IPv6 configuration, assignment, and prefix sizing.",1,1,2,CCNA301V2-0000004|CCNA301V2-0000033,
1.5,1.0,Network Infrastructure and Connectivity,25,Explain wireless networking principles.,0,0,0,,
1.5.a,1.0,Network Infrastructure and Connectivity,25,Select appropriate wireless bands and channels.,1,0,1,CCNA301V2-0000005,
1.5.b,1.0,Network Infrastructure and Connectivity,25,Interpret radio-frequency characteristics.,0,1,1,CCNA301V2-0000034,
1.5.c,1.0,Network Infrastructure and Connectivity,25,Distinguish wireless security protocols.,1,0,1,CCNA301V2-0000006,
1.5.d,1.0,Network Infrastructure and Connectivity,25,Identify common causes of wireless interference.,0,1,1,CCNA301V2-0000035,
1.6,1.0,Network Infrastructure and Connectivity,25,Troubleshoot wired and wireless client connectivity.,1,1,2,CCNA301V2-0000007|CCNA301V2-0000036,
1.7,1.0,Network Infrastructure and Connectivity,25,"Troubleshoot DHCPv4 clients, servers, and relays on IOS devices.",1,1,2,CCNA301V2-0000008|CCNA301V2-0000037,CCNA301V2-0000008|CCNA301V2-0000037
2.1,2.0,Switching and Network Access,25,Configure network-infrastructure connectivity.,0,0,0,,
2.1.a,2.0,Switching and Network Access,25,Configure Layer 2 and Layer 3 physical interfaces.,0,1,1,CCNA301V2-0000038,
2.1.b,2.0,Switching and Network Access,25,Configure Layer 2 IEEE 802.1Q trunk interfaces.,1,0,1,CCNA301V2-0000009,CCNA301V2-0000009
2.1.c,2.0,Switching and Network Access,25,Configure Layer 2 and Layer 3 LACP port channels.,1,1,2,CCNA301V2-0000010|CCNA301V2-0000039,CCNA301V2-0000010|CCNA301V2-0000039
2.1.d,2.0,Switching and Network Access,25,Configure switch virtual interfaces.,1,0,1,CCNA301V2-0000011,
