question_id,domain_id,objective_id,difficulty,question_type,interaction_variant,item_count,option_count,selection_count,topic,batch_id
SEC701-0000251,1.0,1.1,easy,matching,matching,4,4,,Security control functions,SEC701-BATCH-012
SEC701-0000252,1.0,1.2,medium,matching,classification,3,3,,Authentication authorization and accounting,SEC701-BATCH-012
SEC701-0000253,1.0,1.3,medium,ordering,ordering,3,0,,Planned change workflow,SEC701-BATCH-012
SEC701-0000254,2.0,2.4,medium,matching,matching,4,4,,Malicious activity indicators,SEC701-BATCH-012
SEC701-0000255,2.0,2.3,hard,matching,classification,3,3,,Vulnerability categories,SEC701-BATCH-012
SEC701-0000256,2.0,2.2,easy,ordering,ordering,3,0,,Credential phishing progression,SEC701-BATCH-012
SEC701-0000257,2.0,2.4,medium,line_select,line_select,0,0,4,Password spraying evidence,SEC701-BATCH-012
SEC701-0000258,2.0,2.4,hard,line_select,line_select,0,0,2,Directory traversal evidence,SEC701-BATCH-012
SEC701-0000259,3.0,3.1,easy,matching,matching,4,4,,Cloud delivery models,SEC701-BATCH-012
SEC701-0000260,3.0,3.3,medium,matching,classification,3,3,,Data states,SEC701-BATCH-012
SEC701-0000261,3.0,3.4,medium,ordering,ordering,3,0,,Warm-site recovery sequence,SEC701-BATCH-012
SEC701-0000262,3.0,3.2,hard,line_select,line_select,0,0,2,Management interface hardening,SEC701-BATCH-012
SEC701-0000263,4.0,4.4,medium,matching,matching,4,4,,Security monitoring tools,SEC701-BATCH-012
SEC701-0000264,4.0,4.6,hard,matching,matching,4,4,,Identity federation and access technologies,SEC701-BATCH-012
SEC701-0000265,4.0,4.3,medium,matching,classification,3,4,,Vulnerability management activities,SEC701-BATCH-012
SEC701-0000266,4.0,4.9,hard,matching,classification,3,4,,Investigation data sources,SEC701-BATCH-012
SEC701-0000267,4.0,4.8,easy,ordering,ordering,3,0,,Incident response phases,SEC701-BATCH-012
SEC701-0000268,4.0,4.6,medium,ordering,ordering,3,0,,Time-limited privileged access,SEC701-BATCH-012
SEC701-0000269,4.0,4.9,medium,line_select,line_select,0,0,2,Impossible travel investigation,SEC701-BATCH-012
SEC701-0000270,5.0,5.1,easy,matching,matching,4,4,,Governance document types,SEC701-BATCH-012
SEC701-0000271,5.0,5.2,medium,matching,classification,3,4,,Risk treatment strategies,SEC701-BATCH-012
SEC701-0000272,5.0,5.3,hard,ordering,ordering,3,0,,Third-party risk lifecycle,SEC701-BATCH-012
SEC701-0000273,5.0,5.3,medium,line_select,line_select,0,0,2,Vendor due diligence evidence,SEC701-BATCH-012
SEC701-0000274,5.0,5.6,easy,line_select,line_select,0,0,2,Phishing message indicators,SEC701-BATCH-012
SEC701-0000275,1.0,1.2,medium,matching,classification,3,3,,Authentication authorization and accounting,SEC701-BATCH-012-R1
SEC701-0000276,1.0,1.3,medium,ordering,ordering,3,0,,Planned change workflow,SEC701-BATCH-012-R1
SEC701-0000277,2.0,2.3,hard,matching,classification,3,3,,Vulnerability categories,SEC701-BATCH-012-R1
SEC701-0000278,2.0,2.2,easy,ordering,ordering,3,0,,Credential phishing progression,SEC701-BATCH-012-R1
SEC701-0000279,3.0,3.3,medium,matching,classification,3,3,,Data states,SEC701-BATCH-012-R1
SEC701-0000280,3.0,3.4,medium,ordering,ordering,3,0,,Warm-site recovery sequence,SEC701-BATCH-012-R1
SEC701-0000281,4.0,4.3,medium,matching,classification,3,4,,Vulnerability management activities,SEC701-BATCH-012-R1
SEC701-0000282,4.0,4.3,medium,matching,classification,2,4,,Vulnerability management activities,SEC701-BATCH-012-R1
SEC701-0000283,4.0,4.9,hard,matching,classification,3,4,,Investigation data sources,SEC701-BATCH-012-R1
SEC701-0000284,4.0,4.9,hard,matching,classification,2,4,,Investigation data sources,SEC701-BATCH-012-R1
SEC701-0000285,4.0,4.8,easy,ordering,ordering,3,0,,Incident response phases,SEC701-BATCH-012-R1
SEC701-0000286,4.0,4.6,medium,ordering,ordering,3,0,,Time-limited privileged access,SEC701-BATCH-012-R1
SEC701-0000287,5.0,5.2,medium,matching,classification,3,4,,Risk treatment strategies,SEC701-BATCH-012-R1
SEC701-0000288,5.0,5.2,medium,matching,classification,2,4,,Risk treatment strategies,SEC701-BATCH-012-R1
SEC701-0000289,5.0,5.3,hard,ordering,ordering,3,0,,Third-party risk lifecycle,SEC701-BATCH-012-R1
