test_id,exam_version,objectives_version,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,scope_summary
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.1,Diagnose physical interface and cabling faults.,"Collisions, interface errors, duplex and speed mismatches, distance limits, interface state, signal levels, pinouts, and copper or fiber cable types."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.2,"Explain the roles of hypervisors, virtual machines, and containers.","How the three virtualization approaches host, isolate, and connect workloads."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.3,"Troubleshoot IPv4 configuration, assignment, and subnetting.","Public and private addressing, masks and prefixes, host ranges, gateways, assignment methods, and address-plan faults."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.4,"Troubleshoot IPv6 configuration, assignment, and prefix sizing.","Unicast addressing, prefix selection, assignment behavior, and modified EUI-64."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.5,Explain wireless networking principles.,"Bands, channels, radio-frequency behavior, security protocols, and interference."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.5.a,Select appropriate wireless bands and channels.,"Band characteristics, channel availability, overlap, and selection tradeoffs."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.5.b,Interpret radio-frequency characteristics.,"Signal behavior, attenuation, propagation, coverage, and related RF properties."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.5.c,Distinguish wireless security protocols.,Security and authentication choices used to protect wireless access.
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.5.d,Identify common causes of wireless interference.,"Channel overlap, competing transmitters, physical obstacles, and environmental noise."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.6,Troubleshoot wired and wireless client connectivity.,"IP configuration, reachability, and wireless security parameters on Windows, macOS, and Linux clients."
CCNA-301-V2,200-301 v2.0,2.0,1.0,Network Infrastructure and Connectivity,25,1.7,"Troubleshoot DHCPv4 clients, servers, and relays on IOS devices.","Address leasing, server pools, client behavior, relay configuration, and common IOS verification evidence."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.1,Configure network-infrastructure connectivity.,"Switch-to-switch and switch-to-router connectivity across physical, trunk, port-channel, and routed interfaces."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.1.a,Configure Layer 2 and Layer 3 physical interfaces.,"Interface mode, addressing where applicable, administrative state, speed, duplex, and verification."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.1.b,Configure Layer 2 IEEE 802.1Q trunk interfaces.,"Trunk mode, allowed VLANs, native VLAN behavior, and operational verification."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.1.c,Configure Layer 2 and Layer 3 LACP port channels.,"EtherChannel membership, LACP modes, routed port channels, consistency, and verification."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.1.d,Configure switch virtual interfaces.,"SVI creation, VLAN association, IP configuration, line protocol state, and reachability."
CCNA-301-V2,200-301 v2.0,2.0,2.0,Switching and Network Access,25,2.2,Configure edge switch-port attributes for connected hosts.,"VLAN membership, Power over Ethernet, port channels, and LACP for common edge-device categories."
