test_id,exam_version,objectives_version,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,scope_summary
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.1,Explain concepts related to the Open Systems Interconnection (OSI) reference model.,OSI layers 1 through 7 and the networking functions associated with each layer.
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.2,"Compare and contrast networking appliances, applications, and functions.","Physical and virtual routers, switches, firewalls, IDS/IPS, load balancers, proxies, NAS, SAN, wireless APs and controllers, CDNs, VPNs, QoS, and TTL."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.3,Summarize cloud concepts and connectivity options.,"NFV, VPCs, security groups and lists, cloud gateways, VPN and direct connectivity, deployment and service models, scalability, elasticity, and multitenancy."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.4,"Explain common networking ports, protocols, services, and traffic types.","Common ports and services, IP protocol types including TCP, UDP, ICMP, GRE, and IPsec, plus unicast, multicast, anycast, and broadcast traffic."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.5,Compare and contrast transmission media and transceivers.,"Wireless and wired media, fiber types, copper and coaxial cabling, cable speeds and ratings, transceiver protocols and form factors, and connector types."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.6,"Compare and contrast network topologies, architectures, and types.","Mesh, hybrid, star or hub-and-spoke, spine-and-leaf, point-to-point, three-tier, collapsed-core designs, and north-south versus east-west traffic."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.7,"Given a scenario, use appropriate IPv4 network addressing.","Public and private addressing, APIPA, RFC1918, loopback, subnetting, VLSM, CIDR, and IPv4 address classes."
NET-009,N10-009,6.0,1.0,Networking Concepts,23,1.8,Summarize evolving use cases for modern network environments.,"SDN, SD-WAN, VXLAN, data-center interconnects, Zero Trust, SASE and SSE, infrastructure as code, source control, and IPv6 transition methods."
NET-009,N10-009,6.0,2.0,Network Implementation,20,2.1,Explain characteristics of routing technologies.,"Static and dynamic routing, BGP, EIGRP, OSPF, route selection, NAT, PAT, FHRP, virtual IPs, and subinterfaces."
NET-009,N10-009,6.0,2.0,Network Implementation,20,2.2,"Given a scenario, configure switching technologies and features.","VLAN databases and SVIs, native and voice VLANs, 802.1Q tagging, link aggregation, speed and duplex, spanning tree, MTU, and jumbo frames."
NET-009,N10-009,6.0,2.0,Network Implementation,20,2.3,"Given a scenario, select and configure wireless devices and technologies.","Channels and widths, frequency bands, band steering, SSID identifiers, wireless network types, WPA2 and WPA3, guest access, authentication, antennas, and AP modes."
NET-009,N10-009,6.0,2.0,Network Implementation,20,2.4,Explain important factors of physical installations.,"IDF and MDF placement, racks, airflow, patching and fiber panels, physical locks, UPS and PDU considerations, power load, voltage, humidity, fire suppression, and temperature."
